Age,Gender,Level,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All aged 16 & over,Male,Up to 6 months,6024363,5885055,5867777,5307585,4903034,4901325,6343984,5011275,4867114,5741383,4084104
All aged 16 & over,Male,Over 6 and up to 12 months,2203497,1809621,1638173,1621122,1448058,1323107,1546771,1941369,921353,1294948,1067546
All aged 16 & over,Male,All over 12 months,5554097,4082284,3276703,2766042,2575498,2433201,2178291,3206678,2468607,2194736,1978485
All aged 16 & over,Male,All over 24 months,3160176,2422742,1996869,1593766,1407625,1280475,1207899,1612806,1368799,1414572,988373
All aged 16 to 64,Male,Up to 6 months,5937840,5826750,5803929,5226747,4815440,4850553,6273902,4942703,4769240,5633410,3979960
All aged 16 to 64,Male,Over 6 and up to 12 months,2177425,1779844,1629025,1585011,1421712,1285337,1499012,1888651,895468,1251361,1030560
All aged 16 to 64,Male,All over 12 months,5462670,4005640,3241575,2729698,2545576,2373293,2072785,3072702,2406206,2110391,1917421
All aged 16 to 64,Male,All over 24 months,3107581,2372577,1970890,1578020,1396296,1245336,1132517,1537975,1319283,1355058,957519
16 to 17,Male,Up to 6 months,673947,714732,654476,574052,493980,472087,489323,431320,623902,498246,403765
16 to 17,Male,Over 6 and up to 12 months,176685,141355,132969,109769,118699,78163,122646,87005,89127,55243,75959
16 to 17,Male,All over 12 months,155124,111458,65457,29448,40957,45069,30043,48441,22365,0,62873
16 to 17,Male,All over 24 months,15071,0,9891,0,0,0,0,0,0,0,0
18 to 24,Male,Up to 6 months,2175427,2172016,2087638,1806713,1727825,1875107,2233552,1650953,1734678,2146419,1585570
18 to 24,Male,Over 6 and up to 12 months,767993,526590,562086,592596,454836,482975,469473,552873,258979,554270,366173
18 to 24,Male,All over 12 months,1617849,1135065,755053,655617,573065,557639,546491,680918,489740,508708,583163
18 to 24,Male,All over 24 months,790447,549725,344996,271210,217178,150786,188230,197793,152218,269530,167057
25 to 49,Male,Up to 6 months,2202929,2086294,2212610,2000700,1826789,1719147,2420363,1970702,1689845,2101595,1394807
25 to 49,Male,Over 6 and up to 12 months,920988,767878,620778,551612,561953,463246,559315,789148,329464,348478,337647
25 to 49,Male,All over 12 months,2468614,1871629,1388271,1229652,1157368,1045871,741729,1307556,1081554,808358,835507
25 to 49,Male,All over 24 months,1497816,1182677,913753,786042,695917,635438,446242,701165,689308,536344,482461
50 and over,Male,Up to 6 months,972059,912013,913053,926121,854440,834984,1200747,958301,818690,995123,699961
50 and over,Male,Over 6 and up to 12 months,337832,373799,322340,367146,312571,298722,395336,512343,243784,335831,287766
50 and over,Male,All over 12 months,1312510,964132,1067922,848146,802818,783235,853309,1167552,869235,872447,496941
50 and over,Male,All over 24 months,851210,677503,720872,535033,491558,490251,573427,710029,521608,608698,334267
All aged 16 & over,Female,Up to 6 months,5914394,5562866,5564704,5085626,4871269,4567644,5445243,4973514,4507452,5167044,3938279
All aged 16 & over,Female,Over 6 and up to 12 months,1832371,1578289,1328498,1199681,1164874,976673,1164095,1677588,1009046,1055286,957705
All aged 16 & over,Female,All over 12 months,3295752,2562308,2069186,1823712,1713616,1493709,1484901,1919992,1573143,1202656,1042205
All aged 16 & over,Female,All over 24 months,1668704,1298991,958977,855314,854071,705336,713770,821662,714280,544537,422255
All aged 16 to 64,Female,Up to 6 months,5874156,5524373,5514730,5058449,4835693,4519051,5386458,4916771,4445954,5129555,3868636
All aged 16 to 64,Female,Over 6 and up to 12 months,1821988,1562491,1316789,1185451,1146241,971983,1149097,1652876,991510,1048646,949530
All aged 16 to 64,Female,All over 12 months,3260124,2530116,2012741,1791310,1694562,1454310,1453532,1854039,1506089,1173397,989005
All aged 16 to 64,Female,All over 24 months,1655640,1274498,932299,836444,847664,679837,689153,780328,676599,519693,381595
16 to 17,Female,Up to 6 months,735999,566403,589656,518234,517934,366334,374056,475116,362108,388667,381393
16 to 17,Female,Over 6 and up to 12 months,171299,102241,60389,115812,81857,72865,119842,98377,51569,104687,79272
16 to 17,Female,All over 12 months,101490,69687,74173,46007,16987,9942,30206,60267,18965,6327,44588
16 to 17,Female,All over 24 months,0,0,0,0,0,0,0,0,0,0,0
18 to 24,Female,Up to 6 months,1791026,1789123,1594052,1498196,1457010,1398806,1745782,1363118,1167541,1336948,1027701
18 to 24,Female,Over 6 and up to 12 months,457884,454968,370508,280763,293428,248432,270732,338706,153158,277300,271867
18 to 24,Female,All over 12 months,773996,532775,346510,276374,267877,237600,317650,385751,274404,170061,148869
18 to 24,Female,All over 24 months,323998,218061,148152,98485,87979,58073,91686,128438,54496,6907,14317
25 to 49,Female,Up to 6 months,2602354,2493987,2553319,2357961,2106452,2018558,2423187,2156896,2186085,2680139,1957098
25 to 49,Female,Over 6 and up to 12 months,955750,760546,705224,579527,540972,454674,507801,857481,589296,513380,407041
25 to 49,Female,All over 12 months,1725413,1354133,1081802,982245,904975,763223,730091,890552,767388,597522,527175
25 to 49,Female,All over 24 months,911033,689288,485524,432452,434218,358959,346231,363502,367696,228690,170256
50 and over,Female,Up to 6 months,785014,713354,827677,711235,789872,783946,902218,978384,791718,761290,572087
50 and over,Female,Over 6 and up to 12 months,247438,260534,192377,223578,248617,200702,265719,383025,209963,155691,199525
50 and over,Female,All over 12 months,694852,605713,566070,519086,514055,473522,400974,579234,496035,401453,309763
50 and over,Female,All over 24 months,425720,387531,318104,319651,331874,288304,275853,329722,280565,277001,208762